Vendor,Vendor Type,Amount,Due Date,Transaction Date,Transaction Description
Lowe-Kennedy,Marketing,301.85,09/06/2025,14/04/2025,Ad campaign spend - Facebook ads
"Cantu, Luna and Smith",Supplies,4143.6,18/04/2025,17/03/2025,Breakroom and pantry supplies - monthly refill
Thompson LLC,Software,150.49,08/12/2024,27/10/2024,Pro plan billing for cloud platform - 88 seats
Dixon and Sons,Legal,7527.27,05/05/2025,14/04/2025,Legal advisory services - compliance audit
"Price, Khan and Mcdonald",Supplies,5119.72,30/08/2024,14/08/2024,Purchase of ergonomic office accessories
Davidson-Rodriguez,Rent,3755.77,31/07/2025,14/07/2025,Building rental for company premises
Gill-Jones,Marketing,2479.95,21/03/2025,30/01/2025,Influencer collaboration fee - product promo
Newton PLC,Payroll Provider,8523.94,23/06/2025,21/06/2025,Payroll charges for hourly workers - New Andres site
"Barton, Tate and Brown",Supplies,2803.84,30/01/2025,13/12/2024,Purchase of ergonomic office accessories
Henderson Ltd,Utilities,6449.24,18/09/2025,28/07/2025,Monthly internet charges - South Shanestad branch
Thompson-Beard,Marketing,1754.11,12/11/2024,07/11/2024,Influencer collaboration fee - product promo
"Buchanan, Herrera and Boyle",Legal,7623.1,18/10/2024,17/09/2024,Contract negotiation support - vendor deal
Adams and Sons,Consulting,5552.68,03/05/2025,23/04/2025,Consulting session - digital transformation
Hanna-Sanchez,Payroll Provider,6456.68,26/09/2024,16/08/2024,Wages disbursed via payroll platform
Burke LLC,Marketing,1695.31,28/08/2025,14/07/2025,Email campaign services - customer outreach
Perez-Doyle,Software,7894.52,20/08/2025,22/06/2025,Monthly subscription for team access - 137 users
Lopez PLC,Legal,8315.51,09/10/2024,15/09/2024,Legal advisory services - compliance audit
Meyer Ltd,Consulting,5504.85,19/05/2025,04/05/2025,Monthly retainer for strategic advisory
"Shah, Young and Lawson",Supplies,427.98,27/11/2024,11/11/2024,Purchase of ergonomic office accessories
"Taylor, Brown and Farmer",Payroll Provider,4541.58,01/03/2025,02/02/2025,Direct deposit processing - contractor payroll
Clark-Lambert,Payroll Provider,2553.31,11/11/2024,06/11/2024,Direct deposit processing - contractor payroll
Bauer Ltd,Rent,1143.08,24/10/2024,28/09/2024,Monthly office rent payment - Port Savannahberg branch
Mcguire-Hart,Marketing,5365.39,27/08/2024,23/08/2024,Ad campaign spend - Google ads
Garcia LLC,Utilities,5258.88,23/02/2025,22/01/2025,Monthly internet charges - Melissamouth branch
"Atkins, Mcneil and Hoover",Utilities,1141.87,11/10/2024,15/09/2024,Monthly internet charges - East John branch
"Ray, Murphy and Mccoy",Utilities,8282.37,01/05/2025,13/03/2025,Water and waste utility fee - Kristinburgh facility
Braun-Johnston,Marketing,7796.25,23/03/2025,13/03/2025,SEO and SEM services - lead generation
"Monroe, Davidson and Evans",Marketing,2362.05,18/09/2024,02/09/2024,Content marketing retainer - monthly service
Sharp PLC,Supplies,7008.2,15/02/2025,24/12/2024,Breakroom and pantry supplies - monthly refill
"Fox, Ballard and Mcintyre",Utilities,2522.62,01/01/2025,13/12/2024,Phone and data plan charges - office use
Huff-Ortiz,Consulting,7934.96,11/09/2024,29/08/2024,External expert engagement - operational efficiency
"King, Nelson and Kirby",Software,818.42,10/09/2025,24/07/2025,Billing for API usage - developer plan
Hall-Gutierrez,Payroll Provider,1838.15,18/08/2025,04/07/2025,Salary payment facilitation - full-time staff
Jones-Young,Supplies,4092.49,02/10/2024,25/09/2024,Order of printer cartridges - North Chrismouth office
Medina Group,Consulting,7285.34,09/11/2024,28/10/2024,Remote consulting workshop - Q&A session
"Peterson, Cole and Ross",Software,7648.19,18/10/2024,10/10/2024,Annual renewal - enterprise software suite
"Anderson, Wright and Little",Utilities,514.56,16/02/2025,28/01/2025,Water and waste utility fee - Cruzberg facility
Long LLC,Rent,3254.45,09/03/2025,16/01/2025,Quarterly rent - North Kathleenbury headquarters
"Garcia, Myers and Blake",Utilities,3875,14/04/2025,14/04/2025,Electricity bill for office - West Jaychester
"Murillo, Lynn and Jimenez",Payroll Provider,5173.73,01/08/2025,02/06/2025,Salary payment facilitation - full-time staff
Hodges-Hamilton,Supplies,6050.37,03/05/2025,28/03/2025,Bulk stationery order - office essentials
Lester Ltd,Utilities,709.28,10/08/2025,05/07/2025,Heating and cooling costs - company premises
"Jones, Butler and Mcclure",Legal,3584.46,31/10/2024,08/09/2024,Retainer for corporate legal services
Rodriguez LLC,Legal,7196.55,21/05/2025,24/03/2025,Contract negotiation support - vendor deal
"White, Sutton and Jackson",Legal,6043.46,14/10/2024,12/09/2024,Contract negotiation support - vendor deal
Byrd-Kline,Legal,4078.18,26/02/2025,19/01/2025,Contract negotiation support - vendor deal
Fuller-Morgan,Marketing,7269.5,04/03/2025,25/01/2025,Email campaign services - customer outreach
"Powell, Anderson and Barron",Software,7467.44,10/05/2025,15/04/2025,Billing for API usage - developer plan
"Kennedy, Turner and Brooks",Marketing,8474.84,06/01/2025,04/12/2024,Content marketing retainer - monthly service
Hawkins-Martin,Marketing,6790.12,11/05/2025,17/04/2025,Email campaign services - customer outreach
"Nelson, Graham and Hughes",Software,6137.23,24/09/2025,28/07/2025,Pro plan billing for cloud platform - 193 seats
Johnson-Brown,Marketing,9023.98,11/06/2025,20/05/2025,SEO and SEM services - lead generation
Clark-Lewis,Marketing,7317.78,09/07/2025,07/07/2025,Influencer collaboration fee - product promo
"White, Morris and Ross",Marketing,9385.33,27/10/2024,29/08/2024,Ad campaign spend - Facebook ads
Alvarez-Key,Software,2140.93,17/04/2025,18/03/2025,Recurring license fee for SaaS product
Castro and Sons,Marketing,6302.67,15/06/2025,19/04/2025,Content marketing retainer - monthly service
"Andrews, Koch and Freeman",Utilities,1299.15,25/05/2025,04/05/2025,Phone and data plan charges - office use
Lopez Inc,Utilities,9582.46,21/03/2025,24/01/2025,Monthly internet charges - East Briana branch
Carter-Gaines,Software,6057.72,01/04/2025,12/03/2025,Billing for API usage - developer plan
Thompson-Taylor,Supplies,641.59,07/12/2024,03/11/2024,Bulk stationery order - office essentials
Howard-Flores,Legal,6263.12,11/10/2024,16/09/2024,Retainer for corporate legal services
Reed-Johnston,Rent,4288.07,11/12/2024,05/11/2024,Rental charge for workspace - downtown West Ronald
"Jones, Stone and Taylor",Utilities,8349.72,21/12/2024,24/11/2024,Electricity bill for office - New Lisaview
Delgado-Martinez,Consulting,5570.36,28/05/2025,06/04/2025,Remote consulting workshop - Q&A session
"Cruz, Palmer and Gutierrez",Consulting,3926.98,06/02/2025,11/12/2024,Project-based consulting fee - Tinafurt office
Gilbert LLC,Consulting,6958.53,05/06/2025,21/05/2025,Remote consulting workshop - Q&A session
"Osborne, Turner and Meyer",Software,2839.06,10/03/2025,12/02/2025,Recurring license fee for SaaS product
"Prince, Santos and Mills",Rent,4000.77,29/09/2024,16/08/2024,Commercial space lease fee - Robertmouth location
Smith-Long,Utilities,8432.81,28/12/2024,19/11/2024,Monthly internet charges - North Michaelfort branch
Yates-Nelson,Marketing,5909.92,14/05/2025,30/04/2025,Influencer collaboration fee - product promo
Russell PLC,Rent,5738.11,25/02/2025,08/02/2025,Rental charge for workspace - downtown Lake Gregory
Alvarez-Vargas,Marketing,8956.18,28/01/2025,21/12/2024,SEO and SEM services - lead generation
Bowen-Erickson,Payroll Provider,2591.16,09/08/2025,18/07/2025,Payroll charges for hourly workers - Stevensfurt site
Wilson-Carroll,Rent,3797.16,07/01/2025,18/11/2024,Building rental for company premises
"Clark, Mason and Jones",Legal,4159.27,10/08/2025,01/07/2025,Document preparation and filing - legal team
"Johnson, Gamble and Powers",Rent,152.25,22/04/2025,07/03/2025,Monthly office rent payment - New Anna branch
Owen Group,Supplies,5404.12,08/07/2025,20/06/2025,Breakroom and pantry supplies - monthly refill
Simmons-Mccullough,Rent,5073.39,10/01/2025,05/01/2025,Quarterly rent - West Victor headquarters
"Oconnell, Pham and Martinez",Payroll Provider,515.2,30/03/2025,08/02/2025,Salary payment facilitation - full-time staff
Daugherty Group,Payroll Provider,6283.29,26/03/2025,13/02/2025,Direct deposit processing - contractor payroll
Ford Inc,Software,8526.68,27/09/2024,15/09/2024,Pro plan billing for cloud platform - 36 seats
Short and Sons,Software,2414.8,22/01/2025,21/01/2025,Billing for API usage - developer plan
"Fleming, Willis and Harris",Software,569.51,22/03/2025,17/02/2025,Billing for API usage - developer plan
Crawford-Strickland,Software,5466.9,15/12/2024,22/10/2024,Monthly subscription for team access - 115 users
"Horton, Goodwin and Bray",Rent,4275.97,25/06/2025,08/06/2025,Building rental for company premises
Curtis-Jennings,Supplies,7251.01,05/03/2025,12/01/2025,"Monthly supply restocking - pens, paper, toner"
Mcdonald Group,Payroll Provider,2274.25,09/11/2024,15/10/2024,Wages disbursed via payroll platform
Johnson PLC,Utilities,5518.3,05/06/2025,26/04/2025,Heating and cooling costs - company premises
"Wright, Ramos and Williams",Marketing,5481.23,18/07/2025,01/06/2025,SEO and SEM services - lead generation
Solomon-Porter,Payroll Provider,1483.09,09/08/2025,02/07/2025,Wages disbursed via payroll platform
Taylor-Tran,Software,133.8,17/04/2025,28/03/2025,Recurring license fee for SaaS product
Drake-Lang,Rent,7573.79,11/11/2024,07/10/2024,Building rental for company premises
Thomas-Williamson,Supplies,8620.71,07/08/2025,04/07/2025,Purchase of ergonomic office accessories
"Miller, Hull and Williams",Utilities,1723.1,18/11/2024,22/09/2024,Electricity bill for office - Veronicaton
"Johnson, Lewis and Rios",Marketing,6926.11,13/07/2025,18/05/2025,SEO and SEM services - lead generation
Smith-Farmer,Marketing,4768.74,22/01/2025,14/01/2025,Email campaign services - customer outreach
Perkins-Allen,Marketing,1329.37,16/03/2025,03/02/2025,Influencer collaboration fee - product promo
"Hansen, Castro and Rogers",Rent,6139.33,20/11/2024,05/11/2024,Commercial space lease fee - New Michael location
"Hall, Booker and Campbell",Consulting,3862.44,01/09/2025,08/07/2025,Monthly retainer for strategic advisory
"Rogers, Mcbride and Rodriguez",Rent,5452.29,31/03/2025,05/02/2025,Commercial space lease fee - Richardhaven location
"Mccormick, Allen and Ward",Consulting,9089.9,25/12/2024,26/11/2024,Project-based consulting fee - Smithberg office
"Fields, Vang and Charles",Rent,2946.76,23/01/2025,12/12/2024,Rental charge for workspace - downtown Dustinhaven
"Ruiz, Yoder and Warner",Payroll Provider,7381.52,26/02/2025,13/01/2025,Salary payment facilitation - full-time staff
"Brown, Robinson and Travis",Rent,309,28/10/2024,23/09/2024,Building rental for company premises
Adkins-Haas,Consulting,896.84,19/04/2025,01/03/2025,Monthly retainer for strategic advisory
Mendez-Morrison,Supplies,3317.31,13/06/2025,31/05/2025,Bulk stationery order - office essentials
Perez-Dunn,Marketing,4391.37,14/09/2024,05/09/2024,Content marketing retainer - monthly service
"Howell, Jones and Lee",Software,3320.23,10/02/2025,24/01/2025,Recurring license fee for SaaS product
Moore and Sons,Consulting,2820.58,17/12/2024,17/11/2024,Monthly retainer for strategic advisory
"Baker, Jefferson and Dyer",Software,4737.82,03/10/2024,23/08/2024,Pro plan billing for cloud platform - 38 seats
"Townsend, Calderon and Knight",Legal,9626.84,30/10/2024,29/09/2024,Intellectual property review - annual check
Levy-Dominguez,Rent,8616.94,05/11/2024,22/09/2024,Monthly office rent payment - North Autumnton branch
Marshall and Sons,Utilities,4702.99,17/08/2024,13/08/2024,Phone and data plan charges - office use
"Baker, Green and Baker",Payroll Provider,3355.34,17/02/2025,18/01/2025,Direct deposit processing - contractor payroll
Simpson LLC,Legal,7397.05,13/05/2025,29/03/2025,Legal advisory services - compliance audit
Frye PLC,Consulting,4971.32,11/03/2025,17/02/2025,Consulting session - digital transformation
Johnson Ltd,Utilities,3685.6,27/10/2024,10/09/2024,Phone and data plan charges - office use
Roberts Group,Legal,877.32,13/06/2025,11/05/2025,Retainer for corporate legal services
Fischer-Robinson,Rent,1262.33,10/02/2025,15/01/2025,Rental charge for workspace - downtown West Peter
Salinas PLC,Utilities,1746.72,13/11/2024,05/10/2024,Monthly internet charges - Emilyland branch
Cannon LLC,Software,176.65,29/05/2025,31/03/2025,Billing for API usage - developer plan
Hunter-Fernandez,Supplies,9870.69,12/10/2024,27/09/2024,Bulk stationery order - office essentials
"Mendoza, Black and Vasquez",Utilities,7966.61,14/07/2025,30/06/2025,Monthly internet charges - Erikahaven branch
"Stone, Melendez and Price",Supplies,1284.85,02/07/2025,28/05/2025,"Monthly supply restocking - pens, paper, toner"
"Sanchez, Poole and Morris",Consulting,7394.42,16/12/2024,15/11/2024,Monthly retainer for strategic advisory
Barnett-Bender,Marketing,596.94,15/11/2024,17/10/2024,Email campaign services - customer outreach
"Peterson, Ortega and Robinson",Payroll Provider,5696.44,07/11/2024,05/10/2024,Monthly payroll service fee - 192 employees
Wheeler LLC,Consulting,5268.49,24/04/2025,15/04/2025,Monthly retainer for strategic advisory
Lucas Group,Supplies,957.36,26/11/2024,24/10/2024,"Monthly supply restocking - pens, paper, toner"
Ward Group,Software,3787,12/03/2025,09/02/2025,Annual renewal - enterprise software suite
"Davidson, Perez and Reed",Supplies,9123.4,21/03/2025,11/02/2025,"Monthly supply restocking - pens, paper, toner"
"Liu, Mitchell and Price",Marketing,3538.36,18/07/2025,25/05/2025,Content marketing retainer - monthly service
Fisher Ltd,Rent,1160.09,07/10/2024,06/09/2024,Quarterly rent - Lake Alexandraville headquarters
"Berger, Esparza and Burton",Consulting,9185.07,29/07/2025,17/06/2025,Project-based consulting fee - Joshuaport office
Gallagher PLC,Rent,5418.9,16/02/2025,09/02/2025,Rental charge for workspace - downtown Gonzalezville
Lucas and Sons,Software,1967.09,17/01/2025,18/12/2024,Billing for API usage - developer plan
"Mccoy, White and Ramirez",Legal,9621.1,15/06/2025,13/06/2025,Document preparation and filing - legal team
"Christian, Mercado and Vargas",Legal,8376.34,08/10/2024,10/08/2024,Contract negotiation support - vendor deal
Gibbs-Mays,Utilities,5085.95,22/02/2025,25/12/2024,Heating and cooling costs - company premises
Smith-Bradford,Supplies,6111.2,05/11/2024,07/10/2024,Breakroom and pantry supplies - monthly refill
Williams Group,Rent,7572.29,20/05/2025,29/04/2025,Building rental for company premises
Fisher LLC,Marketing,5412.59,25/03/2025,13/03/2025,Content marketing retainer - monthly service
Campbell and Sons,Legal,9376.69,29/01/2025,05/12/2024,Retainer for corporate legal services
Grant LLC,Consulting,4306.65,21/09/2025,26/07/2025,Remote consulting workshop - Q&A session
Gutierrez-Mckay,Legal,5043.25,21/10/2024,23/09/2024,Document preparation and filing - legal team
Henry-Harper,Payroll Provider,8942.78,03/04/2025,17/03/2025,Salary payment facilitation - full-time staff
"Mosley, Armstrong and Gonzalez",Consulting,3253.86,16/10/2024,01/10/2024,External expert engagement - operational efficiency
"Jordan, Page and Powers",Utilities,633.53,22/08/2025,23/06/2025,Monthly internet charges - North Aimeeside branch
Taylor PLC,Marketing,9380.9,13/07/2025,01/06/2025,Content marketing retainer - monthly service
Willis LLC,Utilities,7388.65,12/11/2024,28/09/2024,Electricity bill for office - Jasminburgh
Patterson-Evans,Marketing,657.79,25/03/2025,15/02/2025,Email campaign services - customer outreach
Ayers and Sons,Legal,7745.68,26/01/2025,15/12/2024,Contract negotiation support - vendor deal
Wilson and Sons,Payroll Provider,6863.12,28/01/2025,25/01/2025,Monthly payroll service fee - 164 employees
Sanders Ltd,Marketing,664.21,27/05/2025,08/05/2025,Influencer collaboration fee - product promo
Tran Inc,Rent,6056.53,29/08/2024,09/08/2024,Rental charge for workspace - downtown Port Rachel
Young Ltd,Marketing,6370.2,12/01/2025,13/12/2024,Email campaign services - customer outreach
Fleming Ltd,Consulting,8844.66,28/10/2024,05/09/2024,Remote consulting workshop - Q&A session
Patel Inc,Supplies,5968.27,01/10/2024,17/09/2024,"Monthly supply restocking - pens, paper, toner"
"Evans, Henry and Chavez",Software,4487.48,20/08/2025,05/07/2025,Annual renewal - enterprise software suite
Wallace Group,Software,899.01,17/02/2025,19/12/2024,Annual renewal - enterprise software suite
Flores-Bryant,Rent,1070.9,19/11/2024,29/10/2024,Commercial space lease fee - Walkerside location
"Myers, Sanders and Taylor",Consulting,1533.33,20/02/2025,22/12/2024,External expert engagement - operational efficiency
Murphy-Andrade,Rent,7190.98,02/08/2025,15/07/2025,Rental charge for workspace - downtown North Davidmouth
Ware-Harper,Rent,6026.66,17/06/2025,27/04/2025,Building rental for company premises
"Ford, Mayo and Lane",Rent,9729.06,14/06/2025,21/05/2025,Quarterly rent - Elizabethville headquarters
"Adams, Baldwin and Reese",Supplies,6019.39,13/05/2025,30/03/2025,Order of printer cartridges - New Dennis office
Velasquez-Williamson,Utilities,7064.24,21/08/2025,24/06/2025,Heating and cooling costs - company premises
Henderson Group,Utilities,2290.04,10/09/2025,17/07/2025,Monthly internet charges - Rileyburgh branch
Brown-Potter,Legal,8455.56,08/08/2025,28/06/2025,Retainer for corporate legal services
Wilkinson-Johnston,Rent,7494.63,12/10/2024,04/10/2024,Commercial space lease fee - Atkinsonfort location
Whitney PLC,Marketing,3142.5,27/01/2025,10/12/2024,SEO and SEM services - lead generation
Howard-Robinson,Payroll Provider,510.55,23/04/2025,25/02/2025,Direct deposit processing - contractor payroll
Bailey-Hughes,Legal,794.26,17/05/2025,01/05/2025,Retainer for corporate legal services
"Craig, Hanson and Allison",Utilities,3592.63,16/06/2025,22/04/2025,Heating and cooling costs - company premises
Lang-Brown,Supplies,4060.79,01/04/2025,03/02/2025,"Monthly supply restocking - pens, paper, toner"
Carney-Riley,Payroll Provider,7181.32,13/09/2025,16/07/2025,Direct deposit processing - contractor payroll
"Crawford, Clark and Matthews",Utilities,3727.53,04/03/2025,22/02/2025,Monthly internet charges - Shawville branch
Beck-Bryant,Software,9812.47,14/12/2024,01/12/2024,Annual renewal - enterprise software suite
Fields-Price,Legal,2829.1,24/04/2025,10/04/2025,Legal advisory services - compliance audit
Valdez-Williams,Software,2488.17,14/06/2025,26/04/2025,Recurring license fee for SaaS product
Caldwell Group,Marketing,1382.06,23/05/2025,16/04/2025,SEO and SEM services - lead generation
Ruiz-Stephens,Consulting,1030.84,29/12/2024,01/12/2024,Remote consulting workshop - Q&A session
George-Grant,Payroll Provider,7231.39,13/02/2025,21/01/2025,Monthly payroll service fee - 189 employees
"Estrada, Pittman and Fitzgerald",Supplies,4887.83,11/11/2024,28/09/2024,Purchase of ergonomic office accessories
"Ruiz, Hardy and Williams",Marketing,5532.79,28/09/2025,03/08/2025,Email campaign services - customer outreach
James-Crawford,Marketing,1060.66,12/06/2025,27/04/2025,Influencer collaboration fee - product promo
"Paul, Walker and Obrien",Supplies,4629.2,12/10/2024,21/08/2024,Purchase of ergonomic office accessories
Rhodes-Hunt,Legal,5245.58,10/03/2025,04/02/2025,Retainer for corporate legal services
Quinn-Ford,Software,695.41,27/11/2024,12/10/2024,Billing for API usage - developer plan
"Williams, Young and Cruz",Supplies,6870.16,18/09/2024,08/08/2024,Order of printer cartridges - Brendaton office
"Harper, Patton and Graham",Supplies,3016.02,07/08/2025,01/07/2025,Purchase of ergonomic office accessories
Anderson PLC,Supplies,2993.7,19/09/2025,28/07/2025,Breakroom and pantry supplies - monthly refill
Wolfe-Hays,Legal,1159.46,09/04/2025,24/02/2025,Legal advisory services - compliance audit
Alvarez Ltd,Utilities,2235.64,03/05/2025,01/04/2025,Monthly internet charges - Port Tammie branch
Brown Inc,Payroll Provider,1404.54,29/08/2024,11/08/2024,Payroll charges for hourly workers - Allenmouth site
Reynolds-Rivera,Software,938.58,24/03/2025,15/02/2025,Annual renewal - enterprise software suite
Contreras-Miller,Payroll Provider,6061.88,13/03/2025,08/02/2025,Wages disbursed via payroll platform
Johnson Group,Payroll Provider,5968.41,29/05/2025,05/05/2025,Wages disbursed via payroll platform
Ellis-Scott,Software,2294.88,04/07/2025,10/06/2025,Annual renewal - enterprise software suite
Smith-Harris,Software,2983.23,12/04/2025,05/03/2025,Annual renewal - enterprise software suite
Chambers-Burke,Utilities,7539.35,21/11/2024,19/11/2024,Water and waste utility fee - Boyleshire facility
Flores-Parker,Software,8374.24,26/02/2025,23/01/2025,Pro plan billing for cloud platform - 112 seats
"Allen, Johnson and Hansen",Software,8701,20/07/2025,17/06/2025,Annual renewal - enterprise software suite
Mccullough LLC,Software,4705.19,27/06/2025,28/05/2025,Recurring license fee for SaaS product
Martinez LLC,Rent,9956.67,15/02/2025,19/12/2024,Quarterly rent - Lake Brittney headquarters
Herman-Andrews,Software,9743.75,18/02/2025,26/12/2024,Monthly subscription for team access - 49 users
Sandoval PLC,Software,9953.05,18/11/2024,21/09/2024,Annual renewal - enterprise software suite
"Perez, Greene and Jones",Legal,5954.57,27/02/2025,26/01/2025,Legal advisory services - compliance audit
Thomas Inc,Legal,8061.43,01/06/2025,04/04/2025,Intellectual property review - annual check
"Alvarado, Jackson and Dougherty",Rent,1037.05,07/02/2025,31/12/2024,Rental charge for workspace - downtown Kathyport
"Bush, Olsen and Noble",Marketing,314.64,02/04/2025,04/03/2025,Ad campaign spend - Google ads
Andrews Inc,Marketing,1332.35,06/05/2025,19/03/2025,Influencer collaboration fee - product promo
"Benton, Hughes and Patterson",Rent,6352.63,22/10/2024,03/09/2024,Monthly office rent payment - Davidfurt branch
Nolan-Williams,Software,1698.54,23/04/2025,21/03/2025,Recurring license fee for SaaS product
Fields-Wright,Marketing,6475.35,11/01/2025,21/11/2024,SEO and SEM services - lead generation
Perry LLC,Payroll Provider,834.67,30/05/2025,01/05/2025,Direct deposit processing - contractor payroll
"Farrell, Johnson and Shields",Consulting,805.74,22/01/2025,19/12/2024,Project-based consulting fee - Port Jessetown office
"Webb, Campos and Payne",Consulting,3101.47,22/08/2025,29/06/2025,Consulting session - digital transformation
"Taylor, Marsh and Nguyen",Consulting,8547.26,01/01/2025,10/11/2024,Consulting session - digital transformation
Nelson PLC,Legal,5427.7,07/02/2025,21/01/2025,Document preparation and filing - legal team
Aguilar Ltd,Utilities,5558.11,04/02/2025,11/01/2025,Monthly internet charges - South Amandaview branch
"Scott, Guerrero and Kent",Supplies,4344.08,11/09/2024,30/08/2024,Breakroom and pantry supplies - monthly refill
Nguyen-Oneill,Software,927.43,24/02/2025,14/01/2025,Billing for API usage - developer plan
Swanson and Sons,Legal,8068.46,24/11/2024,19/10/2024,Retainer for corporate legal services
Russell-Gonzalez,Marketing,4087.11,29/12/2024,23/12/2024,Email campaign services - customer outreach
"Smith, Hawkins and Hogan",Rent,5530.3,25/06/2025,09/06/2025,Rental charge for workspace - downtown West Brandonchester
Lopez Ltd,Consulting,2634.04,23/01/2025,21/12/2024,External expert engagement - operational efficiency
Douglas Inc,Payroll Provider,924.27,19/06/2025,06/05/2025,Payroll charges for hourly workers - Elizabethport site
"Bradford, King and Nelson",Marketing,3000.46,11/04/2025,26/03/2025,Email campaign services - customer outreach
Stewart-Myers,Software,9140.26,10/02/2025,07/02/2025,Annual renewal - enterprise software suite
Mcmahon-Adams,Payroll Provider,4584.13,25/11/2024,27/09/2024,Wages disbursed via payroll platform
"Armstrong, White and Fisher",Supplies,5502.16,04/10/2024,17/08/2024,Order of printer cartridges - East Jenniferside office
"Shields, Kline and Callahan",Marketing,8669.68,06/01/2025,29/11/2024,Email campaign services - customer outreach
"Griffin, Johnson and Lane",Consulting,6339.76,20/04/2025,26/03/2025,Monthly retainer for strategic advisory
Montoya Group,Consulting,2876.4,13/03/2025,07/02/2025,External expert engagement - operational efficiency
Oconnor Group,Consulting,264.52,28/08/2024,23/08/2024,External expert engagement - operational efficiency
"Kelly, Ochoa and Smith",Marketing,7065.73,20/05/2025,11/05/2025,SEO and SEM services - lead generation
Watson-Williams,Supplies,6137.13,22/05/2025,26/03/2025,Purchase of ergonomic office accessories
Rosario Group,Marketing,3260.99,10/07/2025,17/05/2025,Email campaign services - customer outreach
Clayton-Durham,Legal,1517.69,18/09/2024,10/08/2024,Intellectual property review - annual check
Shah-Cunningham,Consulting,2058.18,03/01/2025,10/11/2024,Consulting session - digital transformation
"Roberson, Quinn and Turner",Utilities,4647.13,24/08/2025,01/07/2025,Monthly internet charges - Bridgetside branch
"Hodge, Patrick and Kelly",Supplies,9736.31,13/01/2025,24/11/2024,Purchase of ergonomic office accessories
Morrison-Byrd,Utilities,6899.91,01/03/2025,18/02/2025,Electricity bill for office - East Donaldstad
Horton Group,Legal,1254.38,04/02/2025,04/02/2025,Intellectual property review - annual check
Clark-Hoover,Payroll Provider,6813.87,29/08/2024,22/08/2024,Direct deposit processing - contractor payroll
Reed Ltd,Supplies,847.97,27/05/2025,12/05/2025,Purchase of ergonomic office accessories
Shelton Group,Utilities,8251.53,07/02/2025,02/02/2025,Electricity bill for office - Ronaldbury
"Mercado, Norton and Morris",Utilities,4448.85,24/03/2025,13/03/2025,Phone and data plan charges - office use
Molina-Harrison,Legal,5631.99,16/06/2025,26/04/2025,Document preparation and filing - legal team
"Conley, Peck and Jones",Marketing,4085.33,13/06/2025,04/05/2025,Ad campaign spend - Instagram ads
Bentley-Ashley,Legal,5788.73,10/06/2025,10/05/2025,Document preparation and filing - legal team
Edwards-Larson,Marketing,1997.84,04/02/2025,22/01/2025,Influencer collaboration fee - product promo
Carr LLC,Utilities,7894.45,18/11/2024,03/10/2024,Monthly internet charges - West Betty branch
Smith-Reynolds,Legal,6261.92,02/09/2024,28/08/2024,Intellectual property review - annual check
Peterson-Garcia,Supplies,9087.5,13/01/2025,09/12/2024,Purchase of ergonomic office accessories
Miller and Sons,Payroll Provider,2899.14,24/08/2025,22/07/2025,Payroll charges for hourly workers - South Yolandashire site
Greene PLC,Software,7480.4,23/09/2024,21/09/2024,Monthly subscription for team access - 156 users
"Pierce, Wolf and White",Marketing,5881.47,30/07/2025,17/06/2025,Email campaign services - customer outreach
"Gray, Anderson and Jordan",Legal,5246.4,18/03/2025,21/02/2025,Legal advisory services - compliance audit
Richards LLC,Consulting,4567.12,08/04/2025,24/03/2025,Remote consulting workshop - Q&A session
Norton Group,Legal,4492.4,24/09/2024,02/09/2024,Contract negotiation support - vendor deal
"Smith, Spence and Morales",Payroll Provider,2691.49,09/05/2025,04/04/2025,Wages disbursed via payroll platform
Ramirez Group,Payroll Provider,348.97,04/02/2025,12/01/2025,Direct deposit processing - contractor payroll
Stephens Inc,Rent,6860.28,15/01/2025,24/11/2024,Quarterly rent - Port Greg headquarters
Thomas Inc,Supplies,2844.2,17/12/2024,19/11/2024,Order of printer cartridges - Kelleytown office
"Herring, Perez and Martin",Legal,4024.04,12/03/2025,05/03/2025,Legal advisory services - compliance audit
Tran-Smith,Marketing,4112.44,10/11/2024,05/10/2024,SEO and SEM services - lead generation
Yang LLC,Legal,9148.89,27/02/2025,06/01/2025,Legal advisory services - compliance audit
Lewis Group,Supplies,2822.96,26/01/2025,02/01/2025,Purchase of ergonomic office accessories
Finley-Price,Software,2716.44,06/02/2025,11/01/2025,Monthly subscription for team access - 77 users
"Walker, Petersen and Stuart",Utilities,904.39,18/01/2025,15/01/2025,Water and waste utility fee - Lake Adam facility
Meyer-Pena,Payroll Provider,1576.84,29/01/2025,02/12/2024,Direct deposit processing - contractor payroll
"Anderson, Harper and Payne",Rent,7001.61,16/12/2024,31/10/2024,Commercial space lease fee - Tuckerchester location
"Everett, Reyes and Armstrong",Software,5759.13,04/11/2024,23/10/2024,Billing for API usage - developer plan
Howell-Griffin,Software,1889.31,16/02/2025,16/02/2025,Billing for API usage - developer plan
Mcgrath-Scott,Legal,5213.99,05/11/2024,25/10/2024,Contract negotiation support - vendor deal
Griffin PLC,Software,1959.45,03/03/2025,21/02/2025,Recurring license fee for SaaS product
"Terry, Moore and Tran",Marketing,3159.63,04/11/2024,12/10/2024,Content marketing retainer - monthly service
Mclean Inc,Consulting,8592.18,06/09/2025,20/07/2025,External expert engagement - operational efficiency
